"","user_hash","user_id","survey_id","survey_name","survey_field_id","date","tasks","Team"
"1","0102eda8e45af8edd703a97309c737d93271bf638950f9dfc970e9bfb808ce61",36,18,"Weekly 1: Open17ClimateGender","Which task(s) did you perform last week?","2021-10-28 12:47:13 UTC","Writing  / preparing a pitch","T6: Women & Technology Against Climate Change"
"2","0102eda8e45af8edd703a97309c737d93271bf638950f9dfc970e9bfb808ce61",36,18,"Weekly 1: Open17ClimateGender","Which task(s) did you perform last week?","2021-10-28 12:47:13 UTC","Meeting with coach (organization team)","T6: Women & Technology Against Climate Change"
"3","0102eda8e45af8edd703a97309c737d93271bf638950f9dfc970e9bfb808ce61",36,18,"Weekly 1: Open17ClimateGender","Which task(s) did you perform last week?","2021-10-28 12:47:13 UTC","Meeting with mentor (external advisors)","T6: Women & Technology Against Climate Change"
"4","115c50b79296ab7d32c651fafefe7dc5b4b1920744545f3c35c0338bc30b5df6",15,18,"Weekly 1: Open17ClimateGender","Which task(s) did you perform last week?","2021-10-27 23:02:43 UTC","Brainstorming / ideation","T9: DonateWater"
"5","115c50b79296ab7d32c651fafefe7dc5b4b1920744545f3c35c0338bc30b5df6",15,18,"Weekly 1: Open17ClimateGender","Which task(s) did you perform last week?","2021-10-27 23:02:43 UTC","Planning tasks","T9: DonateWater"
"6","115c50b79296ab7d32c651fafefe7dc5b4b1920744545f3c35c0338bc30b5df6",15,18,"Weekly 1: Open17ClimateGender","Which task(s) did you perform last week?","2021-10-27 23:02:43 UTC","Reading papers / documents","T9: DonateWater"
"7","115c50b79296ab7d32c651fafefe7dc5b4b1920744545f3c35c0338bc30b5df6",15,18,"Weekly 1: Open17ClimateGender","Which task(s) did you perform last week?","2021-10-27 23:02:43 UTC","Writing  / preparing a pitch","T9: DonateWater"
"8","115c50b79296ab7d32c651fafefe7dc5b4b1920744545f3c35c0338bc30b5df6",15,18,"Weekly 1: Open17ClimateGender","Which task(s) did you perform last week?","2021-10-27 23:02:43 UTC","Documentation of your project","T9: DonateWater"
"9","115c50b79296ab7d32c651fafefe7dc5b4b1920744545f3c35c0338bc30b5df6",15,18,"Weekly 1: Open17ClimateGender","Which task(s) did you perform last week?","2021-10-27 23:02:43 UTC","Team Building activities","T9: DonateWater"
"10","115c50b79296ab7d32c651fafefe7dc5b4b1920744545f3c35c0338bc30b5df6",15,18,"Weekly 1: Open17ClimateGender","Which task(s) did you perform last week?","2021-10-27 23:02:43 UTC","Use of SDG in progress","T9: DonateWater"
"11","115c50b79296ab7d32c651fafefe7dc5b4b1920744545f3c35c0338bc30b5df6",15,19,"Weekly 2: Open17ClimateGender","Which task(s) did you perform last week?","2021-11-03 14:10:42 UTC","Brainstorming / ideation","T9: DonateWater"
"12","115c50b79296ab7d32c651fafefe7dc5b4b1920744545f3c35c0338bc30b5df6",15,19,"Weekly 2: Open17ClimateGender","Which task(s) did you perform last week?","2021-11-03 14:10:42 UTC","Writing  / preparing a pitch","T9: DonateWater"
"13","115c50b79296ab7d32c651fafefe7dc5b4b1920744545f3c35c0338bc30b5df6",15,19,"Weekly 2: Open17ClimateGender","Which task(s) did you perform last week?","2021-11-03 14:10:42 UTC","Team Building activities","T9: DonateWater"
"14","115c50b79296ab7d32c651fafefe7dc5b4b1920744545f3c35c0338bc30b5df6",15,19,"Weekly 2: Open17ClimateGender","Which task(s) did you perform last week?","2021-11-03 14:10:42 UTC","Use of CS logger","T9: DonateWater"
"15","115c50b79296ab7d32c651fafefe7dc5b4b1920744545f3c35c0338bc30b5df6",15,19,"Weekly 2: Open17ClimateGender","Which task(s) did you perform last week?","2021-11-03 14:10:42 UTC","Use of SDG in progress","T9: DonateWater"
"16","115c50b79296ab7d32c651fafefe7dc5b4b1920744545f3c35c0338bc30b5df6",15,22,"Weekly 3: Open17ClimateGender","Which task(s) did you perform last week?","2021-11-11 16:56:19 UTC","Brainstorming / ideation","T9: DonateWater"
"17","115c50b79296ab7d32c651fafefe7dc5b4b1920744545f3c35c0338bc30b5df6",15,22,"Weekly 3: Open17ClimateGender","Which task(s) did you perform last week?","2021-11-11 16:56:19 UTC","Preparing other documents/materials to share outside the team","T9: DonateWater"
"18","115c50b79296ab7d32c651fafefe7dc5b4b1920744545f3c35c0338bc30b5df6",15,22,"Weekly 3: Open17ClimateGender","Which task(s) did you perform last week?","2021-11-11 16:56:19 UTC","Writing  / preparing a pitch","T9: DonateWater"
"19","115c50b79296ab7d32c651fafefe7dc5b4b1920744545f3c35c0338bc30b5df6",15,22,"Weekly 3: Open17ClimateGender","Which task(s) did you perform last week?","2021-11-11 16:56:19 UTC","Use of SDG in progress","T9: DonateWater"
"20","115c50b79296ab7d32c651fafefe7dc5b4b1920744545f3c35c0338bc30b5df6",15,23,"Weekly 4: Open17ClimateGender","Which task(s) did you perform last week?","2021-11-18 18:45:51 UTC","Brainstorming / ideation","T9: DonateWater"
"21","115c50b79296ab7d32c651fafefe7dc5b4b1920744545f3c35c0338bc30b5df6",15,23,"Weekly 4: Open17ClimateGender","Which task(s) did you perform last week?","2021-11-18 18:45:51 UTC","Interpreting results","T9: DonateWater"
"22","115c50b79296ab7d32c651fafefe7dc5b4b1920744545f3c35c0338bc30b5df6",15,23,"Weekly 4: Open17ClimateGender","Which task(s) did you perform last week?","2021-11-18 18:45:51 UTC","Preparing graphics / videos","T9: DonateWater"
"23","115c50b79296ab7d32c651fafefe7dc5b4b1920744545f3c35c0338bc30b5df6",15,23,"Weekly 4: Open17ClimateGender","Which task(s) did you perform last week?","2021-11-18 18:45:51 UTC","Team Building activities","T9: DonateWater"
"24","1991d1507badfbbf6ad90b6d5fc3bcbf115ecf4827400d5d62b2f25ff2b2f18b",25,18,"Weekly 1: Open17ClimateGender","Which task(s) did you perform last week?","2021-11-03 14:18:39 UTC","Planning tasks","T7: UpGet app - CitiCERN Project"
"25","1991d1507badfbbf6ad90b6d5fc3bcbf115ecf4827400d5d62b2f25ff2b2f18b",25,18,"Weekly 1: Open17ClimateGender","Which task(s) did you perform last week?","2021-11-03 14:18:39 UTC","Preparing graphics / videos","T7: UpGet app - CitiCERN Project"
"26","1991d1507badfbbf6ad90b6d5fc3bcbf115ecf4827400d5d62b2f25ff2b2f18b",25,18,"Weekly 1: Open17ClimateGender","Which task(s) did you perform last week?","2021-11-03 14:18:39 UTC","Project administration","T7: UpGet app - CitiCERN Project"
"27","1991d1507badfbbf6ad90b6d5fc3bcbf115ecf4827400d5d62b2f25ff2b2f18b",25,18,"Weekly 1: Open17ClimateGender","Which task(s) did you perform last week?","2021-11-03 14:18:39 UTC","Documentation of your project","T7: UpGet app - CitiCERN Project"
"28","1991d1507badfbbf6ad90b6d5fc3bcbf115ecf4827400d5d62b2f25ff2b2f18b",25,19,"Weekly 2: Open17ClimateGender","Which task(s) did you perform last week?","2021-11-03 14:20:16 UTC","Planning tasks","T7: UpGet app - CitiCERN Project"
"29","1991d1507badfbbf6ad90b6d5fc3bcbf115ecf4827400d5d62b2f25ff2b2f18b",25,19,"Weekly 2: Open17ClimateGender","Which task(s) did you perform last week?","2021-11-03 14:20:16 UTC","Reading papers / documents","T7: UpGet app - CitiCERN Project"
"30","1991d1507badfbbf6ad90b6d5fc3bcbf115ecf4827400d5d62b2f25ff2b2f18b",25,19,"Weekly 2: Open17ClimateGender","Which task(s) did you perform last week?","2021-11-03 14:20:16 UTC","Preparing graphics / videos","T7: UpGet app - CitiCERN Project"
"31","1991d1507badfbbf6ad90b6d5fc3bcbf115ecf4827400d5d62b2f25ff2b2f18b",25,19,"Weekly 2: Open17ClimateGender","Which task(s) did you perform last week?","2021-11-03 14:20:16 UTC","Documentation of your project","T7: UpGet app - CitiCERN Project"
